Loading poker data...
Ordering data...
Loading plant data...
Loading chess data...


Plant tests


  p   |  learn  | training | test set
      |  time   | set risk | risk
-------------------------------------
 0.0% |  0.046s |  3.133%  | 5.074%
 0.5% |  0.046s |  3.133%  | 5.074%
 1.0% |  0.046s |  3.133%  | 5.074%
 1.5% |  0.036s |  3.240%  | 4.332%
 2.0% |  0.034s |  3.240%  | 4.332%
 2.5% |  0.031s |  3.293%  | 4.332%
 3.0% |  0.031s |  3.293%  | 4.332%
 3.5% |  0.029s |  3.558%  | 4.208%
 4.0% |  0.029s |  3.558%  | 4.208%
 4.5% |  0.028s |  3.558%  | 4.208%
 5.0% |  0.028s |  3.558%  | 4.208%
 5.5% |  0.028s |  3.558%  | 4.208%
 6.0% |  0.001s |  5.682%  | 5.569%
 6.5% |  0.001s |  5.682%  | 5.569%
 7.0% |  0.001s |  5.682%  | 5.569%
 7.5% |  0.001s |  5.682%  | 5.569%
 8.0% |  0.001s |  5.682%  | 5.569%
 8.5% |  0.001s |  5.682%  | 5.569%
 9.0% |  0.001s |  5.682%  | 5.569%
 9.5% |  0.001s |  5.682%  | 5.569%
10.0% |  0.001s |  5.682%  | 5.569%


  m   |  learn  | training | test set
      |  time   | set risk | risk
-------------------------------------
   0  |  0.046s |  3.133%  | 5.074%
   1  |  0.039s |  3.399%  | 4.455%
   2  |  0.036s |  4.142%  | 4.579%
   3  |  0.034s |  4.514%  | 4.579%
   4  |  0.030s |  4.567%  | 4.703%
   5  |  0.030s |  4.833%  | 4.579%
   6  |  0.030s |  4.886%  | 4.827%
   7  |  0.027s |  4.886%  | 4.827%
   8  |  0.026s |  4.939%  | 4.950%
   9  |  0.025s |  4.939%  | 4.950%
  10  |  0.025s |  4.939%  | 4.950%
  11  |  0.023s |  4.939%  | 4.950%
  12  |  0.024s |  4.939%  | 4.950%
  13  |  0.023s |  4.939%  | 4.950%
  14  |  0.023s |  4.939%  | 4.950%
  15  |  0.022s |  5.258%  | 5.693%
  16  |  0.022s |  5.258%  | 5.693%
  17  |  0.021s |  5.311%  | 5.817%
  18  |  0.021s |  5.311%  | 5.817%
  19  |  0.022s |  5.311%  | 5.817%
  20  |  0.022s |  5.311%  | 5.817%


Chess tests


  p   |  learn  | training | test set
      |  time   | set risk | risk
-------------------------------------
 0.0% |  0.649s |  0.000%  | 13.235%
 0.5% |  0.629s |  0.000%  | 13.235%
 1.0% |  0.639s |  0.000%  | 13.235%
 1.5% |  0.637s |  0.000%  | 13.235%
 2.0% |  0.636s |  0.041%  | 13.247%
 2.5% |  0.631s |  0.071%  | 13.306%
 3.0% |  0.628s |  0.132%  | 13.306%
 3.5% |  0.623s |  0.209%  | 13.211%
 4.0% |  0.621s |  0.311%  | 13.199%
 4.5% |  0.612s |  0.382%  | 13.188%
 5.0% |  0.618s |  0.448%  | 13.235%
 5.5% |  0.598s |  0.504%  | 13.247%
 6.0% |  0.595s |  0.642%  | 13.295%
 6.5% |  0.593s |  0.687%  | 13.318%
 7.0% |  0.594s |  0.743%  | 13.342%
 7.5% |  0.601s |  0.810%  | 13.366%
 8.0% |  0.594s |  0.840%  | 13.378%
 8.5% |  0.584s |  1.156%  | 13.390%
 9.0% |  0.571s |  1.640%  | 13.485%
 9.5% |  0.564s |  1.859%  | 13.532%
10.0% |  0.559s |  2.103%  | 13.615%


  m   |  learn  | training | test set
      |  time   | set risk | risk
-------------------------------------
   0  |  0.632s |  0.000%  | 13.235%
   1  |  0.558s |  3.911%  | 13.176%
   2  |  0.530s |  6.171%  | 13.841%
   3  |  0.509s |  7.791%  | 14.708%
   4  |  0.498s |  9.028%  | 15.255%
   5  |  0.486s | 10.260%  | 15.980%
   6  |  0.474s | 11.538%  | 16.894%
   7  |  0.467s | 12.389%  | 17.429%
   8  |  0.457s | 13.448%  | 18.237%
   9  |  0.452s | 14.110%  | 18.772%
  10  |  0.446s | 14.797%  | 19.057%
  11  |  0.446s | 15.352%  | 19.556%
  12  |  0.440s | 15.927%  | 19.960%
  13  |  0.431s | 16.880%  | 20.470%
  14  |  0.425s | 17.256%  | 20.613%
  15  |  0.420s | 17.628%  | 20.827%
  16  |  0.417s | 18.193%  | 21.409%
  17  |  0.412s | 18.743%  | 21.884%
  18  |  0.415s | 19.034%  | 22.110%
  19  |  0.409s | 19.568%  | 22.609%
  20  |  0.405s | 19.869%  | 22.740%


Poker tests


  p   |  learn  | training | test set
      |  time   | set risk | risk
-------------------------------------
 0.0% |  4.872s |  0.000%  | 2.055%
 0.5% |  4.828s |  0.000%  | 2.055%
 1.0% |  4.912s |  0.000%  | 2.055%
 1.5% |  4.829s |  0.012%  | 2.088%
 2.0% |  4.775s |  0.056%  | 2.229%
 2.5% |  4.780s |  0.088%  | 2.328%
 3.0% |  4.735s |  0.188%  | 2.434%
 3.5% |  4.806s |  0.284%  | 2.606%
 4.0% |  4.764s |  0.440%  | 2.850%
 4.5% |  4.637s |  0.640%  | 3.081%
 5.0% |  4.624s |  0.844%  | 3.344%
 5.5% |  4.611s |  1.020%  | 3.545%
 6.0% |  4.692s |  1.279%  | 3.807%
 6.5% |  4.517s |  1.567%  | 4.093%
 7.0% |  4.516s |  1.747%  | 4.267%
 7.5% |  4.721s |  2.143%  | 4.678%
 8.0% |  7.405s |  2.471%  | 4.985%
 8.5% |  5.023s |  2.703%  | 5.170%
 9.0% |  4.592s |  3.067%  | 5.478%
 9.5% |  4.584s |  3.391%  | 5.746%
10.0% |  5.327s |  3.663%  | 5.949%


  m   |  learn  | training | test set
      |  time   | set risk | risk
-------------------------------------
   0  |  5.085s |  0.000%  | 2.055%
   1  |  4.876s |  1.232%  | 3.055%
   2  |  4.753s |  2.395%  | 4.183%
   3  |  5.006s |  3.834%  | 5.589%
   4  |  4.604s |  4.970%  | 6.589%
   5  |  4.521s |  5.982%  | 7.385%
   6  |  6.782s |  6.645%  | 7.836%
   7  |  4.438s |  7.121%  | 8.138%
   8  |  4.437s |  7.361%  | 8.300%
   9  |  4.485s |  7.665%  | 8.482%
  10  |  4.452s |  7.869%  | 8.707%
  11  |  4.249s |  8.073%  | 8.922%
  12  |  4.280s |  8.293%  | 9.095%
  13  |  4.304s |  8.417%  | 9.212%
  14  |  4.331s |  8.653%  | 9.347%
  15  |  4.396s |  8.904%  | 9.640%
  16  |  4.365s |  9.260%  | 10.033%
  17  |  4.406s |  9.608%  | 10.381%
  18  |  4.251s |  9.856%  | 10.617%
  19  |  4.197s | 10.124%  | 10.841%
  20  |  4.710s | 10.296%  | 10.980%

Process finished with exit code 0
